operator_gstin,operator_name,tax_period,supplier_gstin,supplier_name,pos,gross_value_of_supplies,value_of_supplies_returned,net_value_of_supplies,tcs_rate_percent,tcs_igst,tcs_cgst,tcs_sgst,total_tcs,gstr8_filing_date,mock_flag
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,042024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,1335504.0,133663.55,1201840.45,0.5,6009.2,0.0,0.0,6009.2,10-05-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,1299812.0,93937.13,1205874.87,0.5,0.0,3014.69,3014.69,6029.37,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,653114.0,30860.89,622253.11,0.5,3111.27,0.0,0.0,3111.27,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,349762.0,37104.64,312657.36,0.5,1563.29,0.0,0.0,1563.29,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1354623.0,150503.56,1204119.44,0.5,6020.6,0.0,0.0,6020.6,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,1309830.0,48289.36,1261540.64,0.5,6307.7,0.0,0.0,6307.7,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,624673.0,60519.58,564153.42,0.5,2820.77,0.0,0.0,2820.77,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,364057.0,14031.91,350025.09,0.5,0.0,875.07,875.07,1750.13,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1147287.0,119848.53,1027438.47,0.5,5137.19,0.0,0.0,5137.19,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1308212.0,153835.42,1154376.58,0.5,5771.88,0.0,0.0,5771.88,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,750265.0,52539.74,697725.26,0.5,3488.63,0.0,0.0,3488.63,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,1337741.0,157541.13,1180199.87,0.5,5901.0,0.0,0.0,5901.0,10-06-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,052024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,916967.0,104824.69,812142.31,0.5,4060.71,0.0,0.0,4060.71,10-06-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,298266.0,31179.79,267086.21,0.5,0.0,667.72,667.72,1335.43,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1027400.0,100269.35,927130.65,0.5,4635.65,0.0,0.0,4635.65,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1293521.0,67654.35,1225866.65,0.5,6129.33,0.0,0.0,6129.33,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1380962.0,100128.03,1280833.97,0.5,6404.17,0.0,0.0,6404.17,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,470126.0,46620.5,423505.5,0.5,2117.53,0.0,0.0,2117.53,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,985994.0,30715.02,955278.98,0.5,4776.39,0.0,0.0,4776.39,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,253603.0,8800.26,244802.74,0.5,0.0,612.01,612.01,1224.01,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,262747.0,25519.38,237227.62,0.5,1186.14,0.0,0.0,1186.14,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1087659.0,44170.69,1043488.31,0.5,5217.44,0.0,0.0,5217.44,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1236994.0,137876.16,1099117.84,0.5,5495.59,0.0,0.0,5495.59,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,1205244.0,42226.99,1163017.01,0.5,5815.09,0.0,0.0,5815.09,10-07-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,062024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,1168842.0,121598.94,1047243.06,0.5,5236.22,0.0,0.0,5236.22,10-07-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,379631.0,16425.45,363205.55,0.5,0.0,908.02,908.02,1816.03,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1293955.0,49512.21,1244442.79,0.5,6222.21,0.0,0.0,6222.21,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1198211.0,134647.02,1063563.98,0.5,5317.82,0.0,0.0,5317.82,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1051321.0,86000.69,965320.31,0.5,4826.6,0.0,0.0,4826.6,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,310439.0,31500.36,278938.64,0.5,1394.69,0.0,0.0,1394.69,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,487096.0,47957.8,439138.2,0.5,2195.69,0.0,0.0,2195.69,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,236050.0,21973.89,214076.11,0.5,0.0,535.19,535.19,1070.38,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,683119.0,25914.12,657204.88,0.5,3286.02,0.0,0.0,3286.02,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1157828.0,46557.43,1111270.57,0.5,5556.35,0.0,0.0,5556.35,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,998431.0,117516.67,880914.33,0.5,4404.57,0.0,0.0,4404.57,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,396241.0,43403.54,352837.46,0.5,1764.19,0.0,0.0,1764.19,10-08-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,072024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,464425.0,23938.32,440486.68,0.5,2202.43,0.0,0.0,2202.43,10-08-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,620260.0,61699.47,558560.53,0.5,0.0,1396.4,1396.4,2792.8,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,360269.0,16045.36,344223.64,0.5,1721.12,0.0,0.0,1721.12,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,492805.0,15897.15,476907.85,0.5,2384.54,0.0,0.0,2384.54,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,669365.0,60468.87,608896.13,0.5,3044.48,0.0,0.0,3044.48,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,975165.0,114117.23,861047.77,0.5,4305.24,0.0,0.0,4305.24,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,1389128.0,130695.61,1258432.39,0.5,6292.16,0.0,0.0,6292.16,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,1055176.0,78142.99,977033.01,0.5,0.0,2442.59,2442.59,4885.17,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,741628.0,62180.91,679447.09,0.5,3397.24,0.0,0.0,3397.24,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,396123.0,28691.69,367431.31,0.5,1837.16,0.0,0.0,1837.16,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1050350.0,59401.34,990948.66,0.5,4954.74,0.0,0.0,4954.74,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,759352.0,42437.95,716914.05,0.5,3584.57,0.0,0.0,3584.57,10-09-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,082024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,576603.0,18247.83,558355.17,0.5,2791.78,0.0,0.0,2791.78,10-09-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,1200287.0,43651.45,1156635.55,0.5,0.0,2891.59,2891.59,5783.18,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,219451.0,21102.59,198348.41,0.5,991.74,0.0,0.0,991.74,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,198500.0,7561.79,190938.21,0.5,954.69,0.0,0.0,954.69,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,409196.0,31072.52,378123.48,0.5,1890.62,0.0,0.0,1890.62,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,354241.0,35464.73,318776.27,0.5,1593.88,0.0,0.0,1593.88,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,526760.0,20945.99,505814.01,0.5,2529.07,0.0,0.0,2529.07,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,985940.0,54761.02,931178.98,0.5,0.0,2327.95,2327.95,4655.89,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1204080.0,93831.09,1110248.91,0.5,5551.24,0.0,0.0,5551.24,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,1023580.0,48578.58,975001.42,0.5,4875.01,0.0,0.0,4875.01,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1077814.0,114345.34,963468.66,0.5,4817.34,0.0,0.0,4817.34,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,774579.0,83489.73,691089.27,0.5,3455.45,0.0,0.0,3455.45,10-10-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,092024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,360648.0,38668.91,321979.09,0.5,1609.9,0.0,0.0,1609.9,10-10-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,858373.0,50087.07,808285.93,0.5,0.0,2020.72,2020.72,4041.43,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,586485.0,58547.78,527937.22,0.5,2639.69,0.0,0.0,2639.69,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,952104.0,93246.17,858857.83,0.5,4294.29,0.0,0.0,4294.29,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,1182590.0,140316.61,1042273.39,0.5,5211.37,0.0,0.0,5211.37,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,1279781.0,83760.48,1196020.52,0.5,5980.1,0.0,0.0,5980.1,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,1300900.0,85907.61,1214992.39,0.5,6074.96,0.0,0.0,6074.96,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,714580.0,45781.52,668798.48,0.5,0.0,1672.0,1672.0,3343.99,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1358301.0,143858.39,1214442.61,0.5,6072.21,0.0,0.0,6072.21,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,828404.0,93809.41,734594.59,0.5,3672.97,0.0,0.0,3672.97,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,755199.0,68543.71,686655.29,0.5,3433.28,0.0,0.0,3433.28,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,484164.0,20519.3,463644.7,0.5,2318.22,0.0,0.0,2318.22,10-11-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,102024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,282752.0,13880.4,268871.6,0.5,1344.36,0.0,0.0,1344.36,10-11-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,1356564.0,114576.47,1241987.53,0.5,0.0,3104.97,3104.97,6209.94,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1395839.0,49030.98,1346808.02,0.5,6734.04,0.0,0.0,6734.04,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,226377.0,24231.86,202145.14,0.5,1010.73,0.0,0.0,1010.73,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,431438.0,37772.95,393665.05,0.5,1968.33,0.0,0.0,1968.33,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,448078.0,24368.48,423709.52,0.5,2118.55,0.0,0.0,2118.55,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,517529.0,45926.72,471602.28,0.5,2358.01,0.0,0.0,2358.01,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,899393.0,31877.24,867515.76,0.5,0.0,2168.79,2168.79,4337.58,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1261403.0,120987.47,1140415.53,0.5,5702.08,0.0,0.0,5702.08,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,970432.0,36680.7,933751.3,0.5,4668.76,0.0,0.0,4668.76,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,810036.0,30046.69,779989.31,0.5,3899.95,0.0,0.0,3899.95,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,1131696.0,99866.6,1031829.4,0.5,5159.15,0.0,0.0,5159.15,10-12-2024,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,112024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,190662.0,6529.07,184132.93,0.5,920.66,0.0,0.0,920.66,10-12-2024,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,536442.41,36712.87,496425.38,0.5,0.0,1241.07,1241.07,2482.13,10-01-2025,TCS base exceeds seller-declared marketplace turnover by 9%
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,27,1298022.0,138296.18,1159725.82,0.5,5798.63,0.0,0.0,5798.63,10-01-2025,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,07,340811.0,23409.5,317401.5,0.5,1587.01,0.0,0.0,1587.01,10-01-2025,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,33,409785.0,13454.02,396330.98,0.5,1981.65,0.0,0.0,1981.65,10-01-2025,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,36,445549.0,14904.36,430644.64,0.5,2153.22,0.0,0.0,2153.22,10-01-2025,
29AAICA1234E1Z0,AMAZON SELLER SERVICES PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,19,728760.0,75487.71,653272.29,0.5,3266.36,0.0,0.0,3266.36,10-01-2025,
29AABCF5678M1ZX,FLIPKART INTERNET PRIVATE LIMITED,122024,29AABCV1234K1Z9,VARDHMAN PRECISION INDUSTRIES PRIVATE LIMITED,29,714985.0,62193.32,652791.68,0.5,0.0,1631.98,1631.98,3263.96,10-01-2025,
