gstin,tax_period,table,invoice_no,invoice_date,ctin,customer_name,pos,inv_typ,hsn,rate,taxable_value,igst,cgst,sgst,cess,invoice_value
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0011,17-04-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84139110,18,230338.69,41460.96,0.0,0.0,0.0,271799.65
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0012,09-04-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,998719,18,315598.1,56807.66,0.0,0.0,0.0,372405.76
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0013,14-04-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,72085190,18,876544.14,157777.95,0.0,0.0,0.0,1034322.09
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0014,26-04-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,73181500,18,27432.98,0.0,2468.97,2468.97,0.0,32370.92
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0015,11-04-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84139110,18,353436.76,63618.62,0.0,0.0,0.0,417055.38
29AABCV1234K1Z9,042024,B2B,VPI/KA/24-25/0016,19-04-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,84139110,18,25990.65,0.0,2339.16,2339.16,0.0,30668.97
29AABCV1234K1Z9,042024,EXPWOP,VPI/KA/24-25/0017,19-04-2024,,PACIFIC RIM INDUSTRIAL PTE LTD,96,EXPWOP,84819090,18,1894725.64,0.0,0.0,0.0,0.0,1894725.64
29AABCV1234K1Z9,042024,EXPWOP,VPI/KA/24-25/0018,15-04-2024,,PACIFIC RIM INDUSTRIAL PTE LTD,96,EXPWOP,84139110,18,1588178.99,0.0,0.0,0.0,0.0,1588178.99
29AABCV1234K1Z9,042024,B2CL,VPI/KA/24-25/0019,25-04-2024,,Unregistered customer,32,R,998719,18,1522446.38,274040.35,0.0,0.0,0.0,1796486.73
29AABCV1234K1Z9,042024,B2CL,VPI/KA/24-25/0020,11-04-2024,,Unregistered customer,36,R,72085190,18,570544.52,102698.01,0.0,0.0,0.0,673242.53
29AABCV1234K1Z9,042024,B2CS,,30-04-2024,,B2C aggregate,29,OE,84819090,18,834009.71,0.0,75060.88,75060.87,0.0,984131.46
29AABCV1234K1Z9,042024,B2CS,,30-04-2024,,B2C aggregate,29,OE,84819090,12,316739.26,0.0,19004.36,19004.35,0.0,354747.97
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0021,20-05-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,73181500,18,29538.12,5316.86,0.0,0.0,0.0,34854.98
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0022,19-05-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,72085190,18,1377744.6,247994.03,0.0,0.0,0.0,1625738.63
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0023,22-05-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,40169390,12,8795.47,0.0,527.73,527.73,0.0,9850.93
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0024,19-05-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,73181500,18,96266.43,17327.96,0.0,0.0,0.0,113594.39
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0025,07-05-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,73181500,18,82029.99,0.0,7382.7,7382.7,0.0,96795.39
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0026,29-05-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,998719,18,390953.81,0.0,35185.85,35185.84,0.0,461325.5
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0027,26-05-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,40169390,12,11030.99,1323.72,0.0,0.0,0.0,12354.71
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0028,20-05-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,84819090,18,34243.7,6163.87,0.0,0.0,0.0,40407.57
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0029,06-05-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,40169390,12,7798.65,0.0,467.92,467.92,0.0,8734.49
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0030,21-05-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,84819090,18,709301.01,127674.18,0.0,0.0,0.0,836975.19
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0031,08-05-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,72085190,18,2188068.93,393852.41,0.0,0.0,0.0,2581921.34
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0032,12-05-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,998719,18,506213.57,0.0,45559.22,45559.22,0.0,597332.01
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0033,04-05-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,40169390,12,46606.22,5592.75,0.0,0.0,0.0,52198.97
29AABCV1234K1Z9,052024,SEZWOP,VPI/KA/24-25/0034,22-05-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,72085190,18,1537961.44,0.0,0.0,0.0,0.0,1537961.44
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0035,19-05-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,72085190,18,781331.03,0.0,70319.8,70319.79,0.0,921970.62
29AABCV1234K1Z9,052024,B2B,VPI/KA/24-25/0036,26-05-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,998719,18,314467.42,0.0,28302.07,28302.07,0.0,371071.56
29AABCV1234K1Z9,052024,EXPWOP,VPI/KA/24-25/0037,06-05-2024,,ATLAS VALVE CORP,96,EXPWOP,84819090,18,1046480.28,0.0,0.0,0.0,0.0,1046480.28
29AABCV1234K1Z9,052024,EXPWOP,VPI/KA/24-25/0038,03-05-2024,,PACIFIC RIM INDUSTRIAL PTE LTD,96,EXPWOP,84819090,18,1764376.42,0.0,0.0,0.0,0.0,1764376.42
29AABCV1234K1Z9,052024,B2CL,VPI/KA/24-25/0039,31-05-2024,,Unregistered customer,24,R,998719,18,1493212.04,268778.17,0.0,0.0,0.0,1761990.21
29AABCV1234K1Z9,052024,B2CL,VPI/KA/24-25/0040,31-05-2024,,Unregistered customer,32,R,40169390,12,925921.25,111110.55,0.0,0.0,0.0,1037031.8
29AABCV1234K1Z9,052024,B2CS,,31-05-2024,,B2C aggregate,29,OE,84819090,18,547285.98,0.0,49255.74,49255.74,0.0,645797.46
29AABCV1234K1Z9,052024,B2CS,,31-05-2024,,B2C aggregate,29,OE,84819090,12,804509.54,0.0,48270.57,48270.57,0.0,901050.68
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0041,21-06-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84819090,18,184087.55,0.0,16567.88,16567.88,0.0,217223.31
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0042,07-06-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84819090,18,215035.61,38706.41,0.0,0.0,0.0,253742.02
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0043,25-06-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,998719,18,650915.93,117164.87,0.0,0.0,0.0,768080.8
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0044,18-06-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,998719,18,51427.63,9256.97,0.0,0.0,0.0,60684.6
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0045,26-06-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,73181500,18,79628.35,14333.1,0.0,0.0,0.0,93961.45
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0046,20-06-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84819090,18,323553.89,0.0,29119.85,29119.85,0.0,381793.59
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0047,14-06-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,84139110,18,200120.58,0.0,18010.85,18010.85,0.0,236142.28
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0048,21-06-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,73181500,18,13924.08,2506.33,0.0,0.0,0.0,16430.41
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0049,03-06-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,40169390,12,24011.42,0.0,1440.69,1440.68,0.0,26892.79
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0050,19-06-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,40169390,12,5672.54,0.0,340.35,340.35,0.0,6353.24
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0051,03-06-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,84139110,18,163277.66,0.0,14694.99,14694.99,0.0,192667.64
29AABCV1234K1Z9,062024,SEZWOP,VPI/KA/24-25/0052,01-06-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,998719,18,156372.79,0.0,0.0,0.0,0.0,156372.79
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0053,29-06-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,84139110,18,109718.85,19749.39,0.0,0.0,0.0,129468.24
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0054,15-06-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,84819090,18,106606.26,19189.13,0.0,0.0,0.0,125795.39
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0055,04-06-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,998719,18,467676.4,0.0,42090.88,42090.87,0.0,551858.15
29AABCV1234K1Z9,062024,B2B,VPI/KA/24-25/0056,18-06-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,40169390,12,34184.51,4102.14,0.0,0.0,0.0,38286.65
29AABCV1234K1Z9,062024,EXPWOP,VPI/KA/24-25/0057,28-06-2024,,PACIFIC RIM INDUSTRIAL PTE LTD,96,EXPWOP,72085190,18,2977670.19,0.0,0.0,0.0,0.0,2977670.19
29AABCV1234K1Z9,062024,EXPWOP,VPI/KA/24-25/0058,02-06-2024,,ATLAS VALVE CORP,96,EXPWOP,73181500,18,2312188.59,0.0,0.0,0.0,0.0,2312188.59
29AABCV1234K1Z9,062024,B2CL,VPI/KA/24-25/0059,15-06-2024,,Unregistered customer,06,R,84819090,18,2093757.72,376876.39,0.0,0.0,0.0,2470634.11
29AABCV1234K1Z9,062024,B2CL,VPI/KA/24-25/0060,02-06-2024,,Unregistered customer,06,R,998719,18,1209613.4,217730.41,0.0,0.0,0.0,1427343.81
29AABCV1234K1Z9,062024,B2CS,,30-06-2024,,B2C aggregate,29,OE,84819090,18,940885.59,0.0,84679.71,84679.7,0.0,1110245.0
29AABCV1234K1Z9,062024,B2CS,,30-06-2024,,B2C aggregate,29,OE,84819090,12,1068803.57,0.0,64128.22,64128.21,0.0,1197060.0
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0061,17-07-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,998719,18,304825.59,0.0,27434.31,27434.3,0.0,359694.2
29AABCV1234K1Z9,072024,SEZWOP,VPI/KA/24-25/0062,20-07-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,998719,18,630461.57,0.0,0.0,0.0,0.0,630461.57
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0063,11-07-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,84139110,18,53890.18,0.0,4850.12,4850.11,0.0,63590.41
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0064,31-07-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,84819090,18,577835.25,104010.35,0.0,0.0,0.0,681845.6
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0065,17-07-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84819090,18,310389.88,55870.18,0.0,0.0,0.0,366260.06
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0066,15-07-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,73181500,18,65025.42,11704.58,0.0,0.0,0.0,76730.0
29AABCV1234K1Z9,072024,SEZWOP,VPI/KA/24-25/0067,28-07-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,40169390,12,14876.92,0.0,0.0,0.0,0.0,14876.92
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0068,11-07-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,40169390,12,23351.41,2802.17,0.0,0.0,0.0,26153.58
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0069,12-07-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,73181500,18,30831.45,5549.66,0.0,0.0,0.0,36381.11
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0070,23-07-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,84819090,18,936238.38,168522.91,0.0,0.0,0.0,1104761.29
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0071,01-07-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,40169390,12,18758.29,2250.99,0.0,0.0,0.0,21009.28
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0072,10-07-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,998719,18,735664.34,132419.58,0.0,0.0,0.0,868083.92
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0073,28-07-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,40169390,12,39811.48,0.0,2388.69,2388.69,0.0,44588.86
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0074,27-07-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,73181500,18,60864.67,10955.64,0.0,0.0,0.0,71820.31
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0075,06-07-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84139110,18,209234.79,0.0,18831.13,18831.13,0.0,246897.05
29AABCV1234K1Z9,072024,B2B,VPI/KA/24-25/0076,05-07-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,73181500,18,152211.58,0.0,13699.04,13699.04,0.0,179609.66
29AABCV1234K1Z9,072024,EXPWOP,VPI/KA/24-25/0077,03-07-2024,,ATLAS VALVE CORP,96,EXPWOP,84819090,18,1636202.09,0.0,0.0,0.0,0.0,1636202.09
29AABCV1234K1Z9,072024,EXPWOP,VPI/KA/24-25/0078,31-07-2024,,HELIOS FLUID SYSTEMS GMBH,96,EXPWOP,72085190,18,2418808.73,0.0,0.0,0.0,0.0,2418808.73
29AABCV1234K1Z9,072024,B2CL,VPI/KA/24-25/0079,21-07-2024,,Unregistered customer,06,R,84819090,18,2163958.69,389512.56,0.0,0.0,0.0,2553471.25
29AABCV1234K1Z9,072024,B2CL,VPI/KA/24-25/0080,03-07-2024,,Unregistered customer,06,R,72085190,18,1189511.92,214112.15,0.0,0.0,0.0,1403624.07
29AABCV1234K1Z9,072024,B2CS,,31-07-2024,,B2C aggregate,29,OE,84819090,18,1380923.01,0.0,124283.07,124283.07,0.0,1629489.15
29AABCV1234K1Z9,072024,B2CS,,31-07-2024,,B2C aggregate,29,OE,84819090,12,1017910.13,0.0,61074.61,61074.61,0.0,1140059.35
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0081,14-08-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,998719,18,130067.62,23412.17,0.0,0.0,0.0,153479.79
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0082,03-08-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,40169390,12,18120.57,2174.47,0.0,0.0,0.0,20295.04
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0083,29-08-2024,27AAEFS1122H1ZJ,SAHYADRI ENGINEERING WORKS,27,R,84139110,18,824219.76,148359.56,0.0,0.0,0.0,972579.32
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0084,13-08-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,40169390,12,33787.39,4054.49,0.0,0.0,0.0,37841.88
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0085,22-08-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,998719,18,156177.43,0.0,14055.97,14055.97,0.0,184289.37
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0086,05-08-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,84819090,18,216135.1,0.0,19452.16,19452.16,0.0,255039.42
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0087,26-08-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,84139110,18,196623.68,35392.26,0.0,0.0,0.0,232015.94
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0088,01-08-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,73181500,18,9768.5,0.0,879.17,879.16,0.0,11526.83
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0089,20-08-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,73181500,18,65111.72,11720.11,0.0,0.0,0.0,76831.83
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0090,05-08-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,998719,18,229959.86,41392.77,0.0,0.0,0.0,271352.63
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0091,30-08-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,73181500,18,23863.06,4295.35,0.0,0.0,0.0,28158.41
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0092,23-08-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84139110,18,90798.23,0.0,8171.84,8171.84,0.0,107141.91
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0093,14-08-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,72085190,18,1408925.13,253606.52,0.0,0.0,0.0,1662531.65
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0094,08-08-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,998719,18,417550.0,0.0,37579.5,37579.5,0.0,492709.0
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0095,08-08-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,72085190,18,1882250.96,338805.17,0.0,0.0,0.0,2221056.13
29AABCV1234K1Z9,082024,B2B,VPI/KA/24-25/0096,12-08-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,84819090,18,596706.67,0.0,53703.6,53703.6,0.0,704113.87
29AABCV1234K1Z9,082024,EXPWOP,VPI/KA/24-25/0097,04-08-2024,,ATLAS VALVE CORP,96,EXPWOP,84139110,18,840430.82,0.0,0.0,0.0,0.0,840430.82
29AABCV1234K1Z9,082024,EXPWOP,VPI/KA/24-25/0098,08-08-2024,,PACIFIC RIM INDUSTRIAL PTE LTD,96,EXPWOP,40169390,12,1861302.17,0.0,0.0,0.0,0.0,1861302.17
29AABCV1234K1Z9,082024,B2CL,VPI/KA/24-25/0099,12-08-2024,,Unregistered customer,06,R,84139110,18,1397095.93,251477.27,0.0,0.0,0.0,1648573.2
29AABCV1234K1Z9,082024,B2CL,VPI/KA/24-25/0100,28-08-2024,,Unregistered customer,08,R,40169390,12,1758921.28,211070.55,0.0,0.0,0.0,1969991.83
29AABCV1234K1Z9,082024,B2CS,,31-08-2024,,B2C aggregate,29,OE,84819090,18,1318626.95,0.0,118676.43,118676.42,0.0,1555979.8
29AABCV1234K1Z9,082024,B2CS,,31-08-2024,,B2C aggregate,29,OE,84819090,12,286531.12,0.0,17191.87,17191.86,0.0,320914.85
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0101,20-09-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84139110,18,26509.5,0.0,2385.86,2385.85,0.0,31281.21
29AABCV1234K1Z9,092024,SEZWOP,VPI/KA/24-25/0102,30-09-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,84819090,18,138908.22,0.0,0.0,0.0,0.0,138908.22
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0103,09-09-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84139110,18,573795.29,0.0,51641.58,51641.57,0.0,677078.44
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0104,10-09-2024,36AABCD4455L1ZH,DECCAN MACHINE TOOLS PRIVATE LIMITED,36,R,84819090,18,398709.05,71767.63,0.0,0.0,0.0,470476.68
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0105,08-09-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84139110,18,55002.57,0.0,4950.23,4950.23,0.0,64903.03
29AABCV1234K1Z9,092024,SEZWOP,VPI/KA/24-25/0106,24-09-2024,29AAFCQ2233R1ZV,QUANTUM PRECISION SEZ UNIT PRIVATE LIMITED,29,SEWOP,40169390,12,9964.96,0.0,0.0,0.0,0.0,9964.96
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0107,19-09-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,73181500,18,10416.52,0.0,937.49,937.48,0.0,12291.49
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0108,29-09-2024,29AAAGK3344N1Z0,KARNATAKA STATE INFRA DEVELOPMENT CORPORATION,29,R,40169390,12,24113.14,0.0,1446.79,1446.79,0.0,27006.72
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0109,28-09-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,40169390,12,26650.79,0.0,1599.05,1599.04,0.0,29848.88
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0110,20-09-2024,19AAACB6677K1Z6,BENGAL PUMPS AND SEALS PRIVATE LIMITED,19,R,40169390,12,18794.07,2255.29,0.0,0.0,0.0,21049.36
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0111,30-09-2024,29AAGFK9012M1ZX,KAVERI HYDRAULICS LLP,29,R,84139110,18,416577.82,0.0,37492.01,37492.0,0.0,491561.83
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0112,20-09-2024,29ADHPG5566Q1ZQ,GOKUL TRADERS,29,R,84819090,18,606887.15,0.0,54619.85,54619.84,0.0,716126.84
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0113,15-09-2024,07AAACN8899J1ZP,NORTHERN VALVE SYSTEMS PRIVATE LIMITED,07,R,72085190,18,1889166.7,340050.01,0.0,0.0,0.0,2229216.71
29AABCV1234K1Z9,092024,B2B,VPI/KA/24-25/0114,17-09-2024,29AACCS7712F1ZB,SRIRAM AUTO COMPONENTS PRIVATE LIMITED,29,R,72085190,18,1402041.87,0.0,126183.77,126183.77,0.0,1654409.41
