recipient_gstin,tax_period,supplier_gstin,supplier_name,invoice_no,invoice_date,hsn,rate,taxable_value,igst,cgst,sgst,cess,invoice_value,itc_available,itc_unavailable_reason,supplier_status_flag
29AABCV1234K1Z9,062024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/7202,23-06-2024,998873,12,278729.93,0.0,16723.8,16723.79,0.0,312177.52,Y,,
29AABCV1234K1Z9,062024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/2592,08-06-2024,39269099,18,28530.11,0.0,2567.71,2567.71,0.0,33665.53,Y,,
29AABCV1234K1Z9,062024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/8803,15-06-2024,48191010,12,9262.38,0.0,555.75,555.74,0.0,10373.87,Y,,
29AABCV1234K1Z9,062024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/7759,05-06-2024,998873,12,180145.85,21617.5,0.0,0.0,0.0,201763.35,Y,,
29AABCV1234K1Z9,072024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/2431,20-07-2024,998873,12,100651.28,12078.15,0.0,0.0,0.0,112729.43,Y,,
29AABCV1234K1Z9,072024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/8066,31-07-2024,997212,18,963433.01,0.0,86708.97,86708.97,0.0,1136850.95,Y,,
29AABCV1234K1Z9,072024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/9903,03-07-2024,998873,12,393847.32,0.0,23630.84,23630.84,0.0,441109.0,Y,,
29AABCV1234K1Z9,072024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/2254,06-07-2024,997212,18,946153.8,0.0,85153.84,85153.84,0.0,1116461.48,Y,,
29AABCV1234K1Z9,072024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/8867,15-07-2024,72283000,18,2604230.61,0.0,234380.76,234380.75,0.0,3072992.12,Y,,
29AABCV1234K1Z9,072024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/4685,17-07-2024,72283000,18,647181.56,116492.68,0.0,0.0,0.0,763674.24,Y,,
29AABCV1234K1Z9,072024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/5226,12-07-2024,48191010,12,16735.81,0.0,1004.15,1004.15,0.0,18744.11,Y,,
29AABCV1234K1Z9,072024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/5852,28-07-2024,997212,18,1133165.82,0.0,101984.93,101984.92,0.0,1337135.67,Y,,
29AABCV1234K1Z9,072024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/2361,28-07-2024,997212,18,813071.81,0.0,73176.47,73176.46,0.0,959424.74,Y,,
29AABCV1234K1Z9,072024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/7836,16-07-2024,998873,12,581145.15,0.0,34868.71,34868.71,0.0,650882.57,Y,,
29AABCV1234K1Z9,072024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/6166,22-07-2024,998873,12,290715.48,0.0,17442.93,17442.93,0.0,325601.34,Y,,
29AABCV1234K1Z9,072024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/9982,05-07-2024,73251000,18,13390.77,2410.34,0.0,0.0,0.0,15801.11,Y,,
29AABCV1234K1Z9,072024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/1173,01-07-2024,997212,18,865650.42,155817.08,0.0,0.0,0.0,1021467.5,Y,,
29AABCV1234K1Z9,072024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/7581,08-07-2024,39269099,18,26760.36,0.0,2408.43,2408.43,0.0,31577.22,Y,,
29AABCV1234K1Z9,082024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/3368,24-08-2024,39269099,18,30276.71,0.0,2724.91,2724.9,0.0,35726.52,Y,,
29AABCV1234K1Z9,082024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/9200,12-08-2024,48191010,12,53388.36,6406.6,0.0,0.0,0.0,59794.96,Y,,
29AABCV1234K1Z9,082024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6766,08-08-2024,48191010,12,48298.56,0.0,2897.92,2897.91,0.0,54094.39,Y,,
29AABCV1234K1Z9,082024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/2820,28-08-2024,998873,12,1045059.74,0.0,62703.59,62703.58,0.0,1170466.91,Y,,
29AABCV1234K1Z9,082024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/5093,03-08-2024,997212,18,3888470.69,699924.72,0.0,0.0,0.0,4588395.41,Y,,
29AABCV1234K1Z9,082024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/6898,12-08-2024,998873,12,1757512.6,0.0,105450.76,105450.75,0.0,1968414.11,Y,,
29AABCV1234K1Z9,082024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/8540,25-08-2024,48191010,12,18567.97,0.0,1114.08,1114.08,0.0,20796.13,Y,,
29AABCV1234K1Z9,082024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/9489,05-08-2024,48191010,12,43350.74,5202.09,0.0,0.0,0.0,48552.83,Y,,
29AABCV1234K1Z9,082024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/8218,21-08-2024,998873,12,748715.0,0.0,44922.9,44922.9,0.0,838560.8,Y,,
29AABCV1234K1Z9,082024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/8893,24-08-2024,998873,12,646645.8,0.0,38798.75,38798.75,0.0,724243.3,Y,,
29AABCV1234K1Z9,082024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/8091,08-08-2024,39269099,18,77199.05,13895.83,0.0,0.0,0.0,91094.88,Y,,
29AABCV1234K1Z9,082024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/6227,10-08-2024,39269099,18,59635.94,0.0,5367.24,5367.23,0.0,70370.41,Y,,
29AABCV1234K1Z9,082024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/1800,19-08-2024,73251000,18,92512.16,16652.19,0.0,0.0,0.0,109164.35,Y,,
29AABCV1234K1Z9,082024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/5384,07-08-2024,48191010,12,41461.18,4975.34,0.0,0.0,0.0,46436.52,Y,,
29AABCV1234K1Z9,092024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/4721,23-09-2024,72283000,18,2353712.68,423668.28,0.0,0.0,0.0,2777380.96,Y,,
29AABCV1234K1Z9,092024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/6321,22-09-2024,998873,12,728263.99,87391.68,0.0,0.0,0.0,815655.67,Y,,
29AABCV1234K1Z9,092024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/5429,23-09-2024,997212,18,1597952.44,0.0,143815.72,143815.72,0.0,1885583.88,Y,,
29AABCV1234K1Z9,092024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/4631,06-09-2024,73251000,18,50466.09,0.0,4541.95,4541.95,0.0,59549.99,Y,,
29AABCV1234K1Z9,092024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/4871,09-09-2024,73251000,18,6572.07,1182.97,0.0,0.0,0.0,7755.04,Y,,
29AABCV1234K1Z9,092024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/2737,20-09-2024,73251000,18,21493.44,0.0,1934.41,1934.41,0.0,25362.26,Y,,
29AABCV1234K1Z9,092024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/1599,25-09-2024,48191010,12,8539.06,1024.69,0.0,0.0,0.0,9563.75,Y,,
29AABCV1234K1Z9,092024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/3374,02-09-2024,998873,12,590833.69,0.0,35450.02,35450.02,0.0,661733.73,Y,,
29AABCV1234K1Z9,092024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/4493,25-09-2024,998873,12,277878.21,0.0,16672.7,16672.69,0.0,311223.6,Y,,
29AABCV1234K1Z9,092024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/6273,12-09-2024,997212,18,837068.77,150672.38,0.0,0.0,0.0,987741.15,Y,,
29AABCV1234K1Z9,092024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/2369,05-09-2024,73251000,18,33031.59,0.0,2972.85,2972.84,0.0,38977.28,Y,,
29AABCV1234K1Z9,092024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/7918,30-09-2024,72283000,18,628539.78,113137.16,0.0,0.0,0.0,741676.94,Y,,
29AABCV1234K1Z9,092024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/2035,26-09-2024,997212,18,955444.7,0.0,85990.03,85990.02,0.0,1127424.75,Y,,
29AABCV1234K1Z9,092024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/5380,19-09-2024,48191010,12,27676.74,0.0,1660.61,1660.6,0.0,30997.95,Y,,
29AABCV1234K1Z9,102024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/6008,28-10-2024,72283000,18,4176552.78,0.0,375889.75,375889.75,0.0,4928332.28,Y,,
29AABCV1234K1Z9,102024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/1448,10-10-2024,72283000,18,1793651.67,322857.3,0.0,0.0,0.0,2116508.97,Y,,
29AABCV1234K1Z9,102024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/5239,19-10-2024,39269099,18,58980.59,0.0,5308.26,5308.25,0.0,69597.1,Y,,
29AABCV1234K1Z9,102024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/6328,02-10-2024,39269099,18,20100.69,3618.12,0.0,0.0,0.0,23718.81,Y,,
29AABCV1234K1Z9,102024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/1015,18-10-2024,73251000,18,33037.47,5946.74,0.0,0.0,0.0,38984.21,Y,,
29AABCV1234K1Z9,102024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/1016,01-10-2024,73251000,18,14864.38,0.0,1337.8,1337.79,0.0,17539.97,Y,,
29AABCV1234K1Z9,102024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/8159,06-10-2024,48191010,12,6582.65,789.92,0.0,0.0,0.0,7372.57,Y,,
29AABCV1234K1Z9,102024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/4614,25-10-2024,998873,12,421985.42,0.0,25319.13,25319.12,0.0,472623.67,Y,,
29AABCV1234K1Z9,102024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/8280,02-10-2024,48191010,12,16454.15,1974.5,0.0,0.0,0.0,18428.65,Y,,
29AABCV1234K1Z9,102024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/9455,06-10-2024,73251000,18,39227.65,0.0,3530.49,3530.49,0.0,46288.63,Y,,
29AABCV1234K1Z9,102024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/8829,29-10-2024,48191010,12,8485.41,0.0,509.13,509.12,0.0,9503.66,Y,,
29AABCV1234K1Z9,102024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/6843,22-10-2024,998873,12,285081.11,34209.73,0.0,0.0,0.0,319290.84,Y,,
29AABCV1234K1Z9,102024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/1895,05-10-2024,73251000,18,30911.15,0.0,2782.01,2782.0,0.0,36475.16,Y,,
29AABCV1234K1Z9,102024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6733,19-10-2024,997212,18,1221323.39,0.0,109919.11,109919.1,0.0,1441161.6,Y,,
29AABCV1234K1Z9,112024,33AAHFS3355G1ZA,SUNRISE TOOLING SOLUTIONS,SUN/24-25/1166,04-11-2024,998873,12,279612.84,33553.54,0.0,0.0,0.0,313166.38,Y,,
29AABCV1234K1Z9,112024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/4479,10-11-2024,72283000,18,1215365.69,218765.82,0.0,0.0,0.0,1434131.51,Y,,
29AABCV1234K1Z9,112024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/6180,16-11-2024,998873,12,677674.6,0.0,40660.48,40660.47,0.0,758995.55,Y,,
29AABCV1234K1Z9,112024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/9483,12-11-2024,73251000,18,29262.42,0.0,2633.62,2633.62,0.0,34529.66,Y,,
29AABCV1234K1Z9,112024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/3786,16-11-2024,72283000,18,5487597.2,0.0,493883.75,493883.75,0.0,6475364.7,Y,,
29AABCV1234K1Z9,112024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/8318,19-11-2024,73251000,18,12819.73,2307.55,0.0,0.0,0.0,15127.28,Y,,
29AABCV1234K1Z9,112024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/6666,05-11-2024,48191010,12,2043.72,0.0,122.63,122.62,0.0,2288.97,Y,,
29AABCV1234K1Z9,112024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/2453,21-11-2024,73251000,18,38476.59,0.0,3462.9,3462.89,0.0,45402.38,Y,,
29AABCV1234K1Z9,112024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/8454,16-11-2024,48191010,12,24873.05,2984.77,0.0,0.0,0.0,27857.82,Y,,
29AABCV1234K1Z9,112024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/3851,19-11-2024,998873,12,393318.23,0.0,23599.1,23599.09,0.0,440516.42,Y,,
29AABCV1234K1Z9,112024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6920,28-11-2024,48191010,12,15118.92,0.0,907.14,907.13,0.0,16933.19,Y,,
29AABCV1234K1Z9,112024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/6271,02-11-2024,73251000,18,38168.87,0.0,3435.2,3435.2,0.0,45039.27,Y,,
29AABCV1234K1Z9,112024,27AADCI7733E1ZL,INDUS FORGINGS AND ALLOYS PRIVATE LIMITED,IND/24-25/1539,19-11-2024,73251000,18,75408.78,13573.58,0.0,0.0,0.0,88982.36,Y,,
29AABCV1234K1Z9,112024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/6917,24-11-2024,997212,18,2001618.95,0.0,180145.71,180145.7,0.0,2361910.36,Y,,
29AABCV1234K1Z9,122024,24AACCG9911B1Z0,GAURAV POLYMERS PRIVATE LIMITED,GAU/24-25/7919,10-12-2024,48191010,12,9621.78,1154.61,0.0,0.0,0.0,10776.39,Y,,
29AABCV1234K1Z9,122024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/7849,16-12-2024,998873,12,593507.77,0.0,35610.47,35610.46,0.0,664728.7,Y,,
29AABCV1234K1Z9,122024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/5454,31-12-2024,48191010,12,24236.0,0.0,1454.16,1454.16,0.0,27144.32,Y,,
29AABCV1234K1Z9,122024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/3240,11-12-2024,997212,18,1637715.99,0.0,147394.44,147394.44,0.0,1932504.87,Y,,
29AABCV1234K1Z9,122024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/3893,18-12-2024,72283000,18,2213207.58,0.0,199188.68,199188.68,0.0,2611584.94,Y,,
29AABCV1234K1Z9,122024,29AABCA2244T1Z8,APEX INDUSTRIAL SERVICES PRIVATE LIMITED,APE/24-25/9534,12-12-2024,39269099,18,65379.19,0.0,5884.13,5884.12,0.0,77147.44,Y,,
29AABCV1234K1Z9,122024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/8287,10-12-2024,997212,18,1641228.45,0.0,147710.56,147710.56,0.0,1936649.57,Y,,
29AABCV1234K1Z9,122024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/7832,12-12-2024,998873,12,205439.68,0.0,12326.38,12326.38,0.0,230092.44,Y,,
29AABCV1234K1Z9,122024,29AAGFN7799P1ZY,NIRMAL PACKAGING INDUSTRIES,NIR/24-25/4377,13-12-2024,997212,18,733659.03,0.0,66029.32,66029.31,0.0,865717.66,Y,,
29AABCV1234K1Z9,122024,29AABCM5511D1ZT,MYSORE CASTINGS PRIVATE LIMITED,MYS/24-25/8908,14-12-2024,48191010,12,2308.75,0.0,138.53,138.52,0.0,2585.8,Y,,
29AABCV1234K1Z9,122024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/6603,12-12-2024,48191010,12,10418.99,0.0,625.14,625.14,0.0,11669.27,Y,,
29AABCV1234K1Z9,122024,29AAACV6688Y1ZQ,VISHWA ENTERPRISES PRIVATE LIMITED,VIS/24-25/5902,05-12-2024,998873,12,257084.75,0.0,15425.09,15425.08,0.0,287934.92,Y,,
29AABCV1234K1Z9,122024,27AABCO3399Z1Z4,ORION METALS PRIVATE LIMITED,ORI/24-25/8172,25-12-2024,72283000,18,1176497.88,211769.62,0.0,0.0,0.0,1388267.5,Y,,
29AABCV1234K1Z9,122024,29AAACB1199C1ZV,BHARAT SPECIAL STEELS LIMITED,BHA/24-25/2130,02-12-2024,998873,12,394007.7,0.0,23640.46,23640.46,0.0,441288.62,Y,,
