gstin,return_form,financial_year,tax_period,arn,filing_date,due_date,filing_status,delay_days,filing_mode,late_fee_paid
33AABCV1234K1ZK,GSTR1,2024-25,012025,AA3302256029255H,11-02-2025,11-02-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,022025,AA3303254015985Y,11-03-2025,11-03-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR1,2024-25,032025,AA3304255095259C,11-04-2025,11-04-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,092024,AA3310245822307E,20-10-2024,20-10-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,102024,AA3311245154287N,20-11-2024,20-11-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,112024,AA3312247559047R,20-12-2024,20-12-2024,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,122024,AA3301252351929F,20-01-2025,20-01-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,012025,AA3302258536114N,20-02-2025,20-02-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,022025,AA3303255661367E,20-03-2025,20-03-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR3B,2024-25,032025,AA3304258222954T,20-04-2025,20-04-2025,Filed,0,ONLINE,0.0
33AABCV1234K1ZK,GSTR9,2024-25,032025,AA3312257382745H,18-12-2025,31-12-2025,Filed,0,ONLINE,0.0
